Rank,Rating,Title,Votes
1,9.2,The Shawshank Redemption (1994),"978,167"
2,9.2,The Godfather (1972),"694,879"
3,9,The Godfather: Part II (1974),"449,142"
4,8.9,Pulp Fiction (1994),"761,060"
5,8.9,"The Good, the Bad and the Ugly (1966)","296,313"
6,8.9,The Dark Knight (2008),"951,466"
7,8.9,12 Angry Men (1957),"240,533"
8,8.9,Schindler's List (1993),"500,986"
9,8.8,The Lord of the Rings: The Return of the King (2003),"697,923"
10,8.8,Fight Club (1999),"744,294"
11,8.8,Star Wars: Episode V - The Empire Strikes Back (1980),"478,779"
12,8.8,The Lord of the Rings: The Fellowship of the Ring (2001),"722,390"
13,8.8,One Flew Over the Cuckoo's Nest (1975),"408,695"
14,8.7,Inception (2010),"766,446"
15,8.7,Goodfellas (1990),"426,112"
16,8.7,Star Wars (1977),"536,498"
17,8.7,Seven Samurai (1954),"150,614"
18,8.7,Forrest Gump (1994),"644,835"
19,8.7,The Matrix (1999),"705,535"
20,8.7,The Lord of the Rings: The Two Towers (2002),"626,438"
21,8.7,City of God (2002),"321,208"
22,8.6,Se7en (1995),"569,645"
23,8.6,The Silence of the Lambs (1991),"478,748"
24,8.6,Once Upon a Time in the West (1968),"133,904"
25,8.6,Casablanca (1942),"259,130"
26,8.6,The Usual Suspects (1995),"443,663"
27,8.6,Raiders of the Lost Ark (1981),"405,235"
28,8.6,Rear Window (1954),"196,081"
29,8.6,It's a Wonderful Life (1946),"167,339"
30,8.6,Psycho (1960),"248,351"
31,8.6,Leon: The Professional (1994),"414,891"
32,8.5,Sunset Blvd. (1950),"88,031"
33,8.5,American History X (1998),"451,916"
34,8.5,Apocalypse Now (1979),"285,295"
35,8.5,Memento (2000),"512,446"
36,8.5,Terminator 2: Judgment Day (1991),"439,926"
37,8.5,Saving Private Ryan (1998),"499,968"
38,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"231,874"
39,8.5,City Lights (1931),"56,908"
40,8.5,Alien (1979),"330,539"
41,8.5,Spirited Away (2001),"221,113"
42,8.5,North by Northwest (1959),"143,187"
43,8.5,Modern Times (1936),"72,315"
44,8.5,Citizen Kane (1941),"201,766"
45,8.5,Back to the Future (1985),"392,778"
46,8.5,The Shining (1980),"346,459"
47,8.5,The Pianist (2002),"271,099"
48,8.4,Life Is Beautiful (1997),"215,193"
49,8.4,Django Unchained (2012),"359,181"
50,8.4,The Departed (2006),"495,381"
51,8.4,The Dark Knight Rises (2012),"602,667"
52,8.4,M (1931),"63,670"
53,8.4,Vertigo (1958),"149,680"
54,8.4,Paths of Glory (1957),"72,283"
55,8.4,American Beauty (1999),"512,711"
56,8.4,Taxi Driver (1976),"295,001"
57,8.4,Aliens (1986),"299,206"
58,8.4,Double Indemnity (1944),"60,930"
59,8.4,WALLiE (2008),"391,315"
60,8.4,Toy Story 3 (2010),"290,612"
61,8.4,The Lives of Others (2006),"153,455"
62,8.4,The Intouchables (2011),"187,259"
63,8.4,The Green Mile (1999),"406,659"
64,8.4,Gladiator (2000),"547,485"
65,8.4,The Great Dictator (1940),"70,970"
66,8.4,A Clockwork Orange (1971),"328,511"
67,8.4,The Prestige (2006),"450,409"
68,8.4,Amelie (2001),"324,690"
69,8.4,Lawrence of Arabia (1962),"121,028"
70,8.4,To Kill a Mockingbird (1962),"132,038"
71,8.4,Reservoir Dogs (1992),"382,602"
72,8.4,Das Boot (1981),"109,505"
73,8.4,Cinema Paradiso (1988),"84,640"
74,8.3,The Lion King (1994),"328,032"
75,8.3,The Third Man (1949),"75,046"
76,8.3,Requiem for a Dream (2000),"348,577"
77,8.3,The Treasure of the Sierra Madre (1948),"51,005"
78,8.3,Eternal Sunshine of the Spotless Mind (2004),"402,956"
79,8.3,Once Upon a Time in America (1984),"134,237"
